0.000000	197379	197649	196297	195981	195940	
0.100000	182457	184822	184195	183230	182620	
0.200000	164609	165171	164981	163870	164916	
0.300000	138961	139093	140668	139846	141413	
0.400000	109722	111817	114362	112464	119131	
0.500000	77204	78981	83354	86673	91580	
0.600000	29843	34755	39282	42023	52906	
0.700000	12441	14803	18415	22748	29314	
0.800000	3398	4262	6072	7786	13283	
0.900000	192	435	881	1422	2904	
1.000000	7	30	93	166	433	
1.100000	1	3	4	42	136	
1.200000	0	0	3	3	35	
1.300000	0	2	0	0	8	
1.400000	0	0	0	1	3	
1.500000	0	0	0	0	0	
1.600000	0	0	0	0	0	
1.700000	0	0	0	0	0	
1.800000	0	0	0	0	1	
1.900000	0	0	0	0	0	
2.000000	0	0	0	0	0	
