#####blocks 32#####
0.000000	197379	0.197089
0.100000	182457	0.182189
0.200000	164609	0.164367
0.300000	138961	0.138757
0.400000	109722	0.109561
0.500000	77204	0.0770905
0.600000	29843	0.0297991
0.700000	12441	0.0124227
0.800000	3398	0.00339301
0.900000	192	0.000191718
1.000000	7	6.98971e-06
1.100000	1	9.9853e-07
1.200000	0	0
1.300000	0	0
1.400000	0	0
1.500000	0	0
1.600000	0	0
1.700000	0	0
1.800000	0	0
1.900000	0	0
2.000000	0	0




#####blocks 64#####
0.000000	197649	0.197358
0.100000	184822	0.18455
0.200000	165171	0.164928
0.300000	139093	0.138889
0.400000	111817	0.111653
0.500000	78981	0.0788649
0.600000	34755	0.0347039
0.700000	14803	0.0147812
0.800000	4262	0.00425574
0.900000	435	0.000434361
1.000000	30	2.99559e-05
1.100000	3	2.99559e-06
1.200000	0	0
1.300000	2	1.99706e-06
1.400000	0	0
1.500000	0	0
1.600000	0	0
1.700000	0	0
1.800000	0	0
1.900000	0	0
2.000000	0	0




#####blocks 96#####
0.000000	196297	0.196008
0.100000	184195	0.183924
0.200000	164981	0.164739
0.300000	140668	0.140461
0.400000	114362	0.114194
0.500000	83354	0.0832315
0.600000	39282	0.0392243
0.700000	18415	0.0183879
0.800000	6072	0.00606308
0.900000	881	0.000879705
1.000000	93	9.28633e-05
1.100000	4	3.99412e-06
1.200000	3	2.99559e-06
1.300000	0	0
1.400000	0	0
1.500000	0	0
1.600000	0	0
1.700000	0	0
1.800000	0	0
1.900000	0	0
2.000000	0	0




#####blocks 128#####
0.000000	195981	0.195693
0.100000	183230	0.182961
0.200000	163870	0.163629
0.300000	139846	0.13964
0.400000	112464	0.112299
0.500000	86673	0.0865456
0.600000	42023	0.0419612
0.700000	22748	0.0227146
0.800000	7786	0.00777456
0.900000	1422	0.00141991
1.000000	166	0.000165756
1.100000	42	4.19383e-05
1.200000	3	2.99559e-06
1.300000	0	0
1.400000	1	9.9853e-07
1.500000	0	0
1.600000	0	0
1.700000	0	0
1.800000	0	0
1.900000	0	0
2.000000	0	0




#####blocks 192#####
0.000000	195940	0.195652
0.100000	182620	0.182352
0.200000	164916	0.164674
0.300000	141413	0.141205
0.400000	119131	0.118956
0.500000	91580	0.0914454
0.600000	52906	0.0528282
0.700000	29314	0.0292709
0.800000	13283	0.0132635
0.900000	2904	0.00289973
1.000000	433	0.000432364
1.100000	136	0.0001358
1.200000	35	3.49486e-05
1.300000	8	7.98824e-06
1.400000	3	2.99559e-06
1.500000	0	0
1.600000	0	0
1.700000	0	0
1.800000	1	9.9853e-07
1.900000	0	0
2.000000	0	0




