0.000000	163	163	163	163	163	
0.100000	163	163	163	163	163	
0.200000	163	163	163	163	163	
0.300000	163	163	163	163	163	
0.400000	163	163	163	163	163	
0.500000	161	162	163	163	163	
0.600000	154	159	161	161	163	
0.700000	132	139	151	157	163	
0.800000	78	111	129	147	158	
0.900000	22	44	65	86	129	
1.000000	3	9	19	33	69	
1.100000	1	2	3	15	31	
1.200000	0	0	2	1	13	
1.300000	0	1	0	0	5	
1.400000	0	0	0	1	1	
1.500000	0	0	0	0	0	
1.600000	0	0	0	0	0	
1.700000	0	0	0	0	0	
1.800000	0	0	0	0	1	
1.900000	0	0	0	0	0	
2.000000	0	0	0	0	0	
