0.000000	195759	197328	196978	195223	196175	195360	196168	195007	197948	
0.100000	184469	186758	186031	185219	184720	184515	183430	183994	187141	
0.200000	165076	169508	168907	165270	166424	164970	164279	164649	173099	
0.300000	140860	150359	146275	143975	143610	139967	139652	138973	158258	
0.400000	118147	131238	127282	121184	116417	114478	114697	113225	141833	
0.500000	81920	101697	90801	82862	78687	76950	74950	71907	116090	
0.600000	44369	64691	52835	44661	39535	41009	36821	34797	89490	
0.700000	18971	34467	24471	16938	13534	14751	12726	12951	58016	
0.800000	3904	10964	5588	3118	2321	2350	1802	1448	31337	
0.900000	651	3997	1672	561	443	381	192	179	15935	
1.000000	57	1128	372	79	71	21	21	2	6151	
1.100000	10	668	129	22	14	5	3	0	2969	
1.200000	2	473	108	15	12	1	0	0	2045	
1.300000	0	438	72	10	5	0	0	0	1634	
1.400000	0	341	64	14	7	0	0	0	1347	
1.500000	0	327	51	9	5	0	0	0	1236	
1.600000	0	295	48	10	7	0	0	0	1103	
1.700000	0	281	51	10	7	0	0	0	1020	
1.800000	0	254	45	5	5	0	0	0	920	
1.900000	0	230	32	9	2	0	0	0	877	
2.000000	0	218	33	2	3	0	0	0	760	
