0.000000	182475	184918	191171	195019	197036	197306	197059	197896	198058	196993	
0.100000	174134	171846	176005	178940	181278	182179	183420	183451	184184	183847	
0.200000	166196	161064	163476	163748	165049	164937	165649	165473	165275	165293	
0.300000	157085	145310	143982	144559	144522	143368	143091	143368	143079	139728	
0.400000	147496	128751	121413	115995	111991	108366	104733	100867	96763	94815	
0.500000	137363	111998	98913	87561	76716	67227	58490	50597	43732	37943	
0.600000	129250	97910	77494	58922	43147	29964	21053	15357	12076	9723	
0.700000	119935	82277	55417	34517	19206	10867	7018	4753	3596	2684	
0.800000	112277	68706	37460	16539	5706	1484	401	79	6	0	
0.900000	101683	51202	19992	4785	650	66	0	0	0	0	
1.000000	91847	38716	9985	1325	169	16	0	0	0	0	
1.100000	85129	30569	5389	303	0	0	0	0	0	0	
1.200000	75627	20860	2190	57	0	0	0	0	0	0	
1.300000	68179	14567	884	25	0	0	0	0	0	0	
1.400000	61045	9569	377	8	0	0	0	0	0	0	
1.500000	53797	6093	137	4	0	0	0	0	0	0	
1.600000	46403	3589	38	0	0	0	0	0	0	0	
1.700000	40307	2205	25	0	0	0	0	0	0	0	
1.800000	35027	1371	6	0	0	0	0	0	0	0	
1.900000	29648	653	2	0	0	0	0	0	0	0	
2.000000	24740	389	6	3	0	0	0	0	0	0	
